,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Review Count,PriceRange,Genre
1268,Yakitori25 炭火地雞,Causeway Bay,"25/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",8558,154,0,(165 Reviews),$201-400,"['Japanese', 'BBQ']"
1269,GodofTeppanyaki (Sino Plaza) 板神鉄板燒日本料理 (信和廣場),Causeway Bay,"Shop 103, 1/F, Sino Plaza, 255-257 Gloucester Road, Causeway Bay",14016,168,6,(201 Reviews),$401-800,"['Japanese', 'Teppanyaki']"
1270,Gyuugoku Stone Grill Steak (Yee Wo Street) 牛極 (怡和街),Causeway Bay,"Shop 1C-1D, G/F, Lok Sing Centre, 19-31 Yee Wo Street, Causeway Bay",5227,134,3,(157 Reviews),$51-100,"['Japanese', 'Teppanyaki']"
1271,Pancake Senmon Pancake 專門,Causeway Bay,"Shop B, G/F, Haywood Mansion, 57 Paterson Street, Causeway Bay",5306,325,3,(344 Reviews),$101-200,"['Japanese', 'Dessert']"
1272,Ippaiya 一杯屋,Causeway Bay,"8/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",14811,422,22,(491 Reviews),$101-200,"['Japanese', 'Robatayaki']"
1273,KADOYA 牡蠣酒場,Causeway Bay,"Shop 101-102, 1/F, Tower 535, 535 Jaffe Road, Causeway Bay",7607,124,6,(139 Reviews),$201-400,"['Japanese', 'Oyster Bar']"
1274,Sushi Kazu Ishoukuya 鮨和居食屋,Causeway Bay,"7/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",6820,203,3,(229 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1275,Sushi Tachi (Tower 535) 立鮨 (Tower 535),Causeway Bay,"Shop 03A, G/F, Tower 535, 535 Jaffe Road, Causeway Bay",6554,184,7,(227 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
1276,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
1277,Victorian Era (Lee Theatre Plaza) 香江花月 (利舞臺廣場),Causeway Bay,"21/F, Lee Theatre Plaza, 99 Percival Street, Causeway Bay",2848,,,,$401-800,"['Guangdong', 'Hong Kong Style']"
1278,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
1279,Teppanyaki Sessyu 鐵板燒雪舟,Causeway Bay,"8/F, Cubus, 1 Hoi Ping Road, Causeway Bay",15992,296,12,(330 Reviews),$401-800,"['Japanese', 'Teppanyaki']"
1280,Torimori 鳥森,Causeway Bay,"7/F, Henry House, 42 Yun Ping Road, Causeway Bay",3489,164,1,(168 Reviews),$201-400,['Japanese']
1281,Meta stages 十八夢,Causeway Bay,"6/F, V Point , 18 Tang Lung Street, Causeway Bay",6911,250,1,(261 Reviews),$401-800,"['Japanese', 'Fine Dining']"
1282,Kyoku 旭,Causeway Bay,"Shop 2, G/F, 38 Haven Street, Causeway Bay",16080,109,4,(129 Reviews),Above $801,"['Japanese', 'Teppanyaki']"
1283,The ALP @ Lounge Hakuba,Causeway Bay,"Shop 302, 3/F, Tower 535, 535 Jaffe Road, Causeway Bay",11464,89,8,(125 Reviews),$101-200,"['Japanese', 'Vegetarian']"
1284,Wagyu 88 和牛88,Causeway Bay,"13/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",17694,152,11,(198 Reviews),$201-400,['Japanese']
1285,Nami Izakaya 浪．居酒屋,Causeway Bay,"1/F, Soundwill Plaza 2 - Midtown, 1-29 Tang Lung Street, Causeway Bay",12566,130,8,(159 Reviews),$201-400,"['Japanese', 'Izakaya']"
1286,ICHIRAN 天然豚骨拉麵專門店一蘭,Causeway Bay,"Shop F-I, G/F, Lockhart House, Block A, 440 Jaffe Road, Causeway Bay",33536,497,60,(898 Reviews),$51-100,"['Japanese', 'Ramen']"
1287,Marble,Causeway Bay,"1/F, Crowne Plaza Hong Kong Causeway Bay, 8 Leighton Road, Causeway Bay",4270,112,0,(116 Reviews),$401-800,"['Japanese', 'Hotel Restaurant']"
1288,深宵食堂,Causeway Bay,"6/F, Bartlock Centre, Yiu Wa Street, Causeway Bay",18233,541,21,(613 Reviews),$201-400,"['Japanese', 'Skewer']"
1289,Kamimura Japanese BBQ 上村牧場,Causeway Bay,"Shop B213-214, B2/F, Times Square, 1 Matheson Street, Causeway Bay",10892,143,5,(158 Reviews),$201-400,"['Japanese', 'BBQ']"
1290,Sushi Kin 鮨金和食料理,Causeway Bay,"12/F, Cubus, 1 Hoi Ping Road, Causeway Bay",10123,154,6,(176 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1291,Japanese Restaurant Doraya (Lockhart Road) 定食 Doraya (駱克道),Causeway Bay,"G/F, Lockhart House, 451-453 Lockhart Road, Causeway Bay",25415,323,31,(492 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
1292,Gonpachi 權八居酒屋,Causeway Bay,"4/F, Lee Garden One, 33 Hysan Avenue, Causeway Bay",21632,152,4,(253 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
1293,La Famille,Causeway Bay,"Shop B201, B2/F, Times Square, 1 Matheson Street, Causeway Bay",2120,97,0,(114 Reviews),$201-400,"['Japanese', 'Dessert']"
1294,Wagyu Yakiniku Ichiro (Po Hon Building) 和牛燒肉一郎 (寶漢大廈),Causeway Bay,"2/F, Po Hon Building, 24-30 Percival Street, Causeway Bay",10983,,,,$201-400,"['Japanese', 'BBQ']"
1295,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
1296,Grill ขนทอง (駱克道),Causeway Bay,"G/F, L'Hart, 487-489 Lockhart Road, Causeway Bay",5473,,,,$101-200,"['Thai', 'Skewer']"
1297,Japanese Wagyu Yakiniku Pure 和牛燒肉‧純,Causeway Bay,"15/F, Henry House, 42 Yun Ping Road, Causeway Bay",22586,259,3,(282 Reviews),$401-800,"['Japanese', 'Seafood']"
1298,Kozy Okonomi-yaki Teppan-yaki,Causeway Bay,"9/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",34571,116,12,(179 Reviews),$201-400,"['Japanese', 'Teppanyaki']"
1299,Miyazaki Niku Honpo 宮崎肉本舖,Causeway Bay,"6/F, Sugar+, 25-31 Sugar Street, Causeway Bay",13928,87,5,(108 Reviews),$401-800,"['Japanese', 'BBQ']"
1300,COSMOS,Causeway Bay,"2/F, 482 Jaffe Road, Causeway Bay",21288,98,4,(139 Reviews),$201-400,"['Japanese', 'Coffee Shop']"
1301,JunG39 JAPAN 串カツ専門店,Causeway Bay,"17/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",17746,70,0,(84 Reviews),$201-400,"['Japanese', 'Wine']"
1302,Wa San Mai 和三昧,Causeway Bay,"22/F, East Point Centre, 555 Hennessy Road, Causeway Bay",19224,215,18,(308 Reviews),Above $801,"['Japanese', 'Teppanyaki']"
1303,Skewer Kitchen 燒烤堂,Causeway Bay,"15/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",10288,107,2,(123 Reviews),$101-200,"['Japanese', 'Skewer']"
1304,THE MATCHA TOKYO (勿地臣街),Causeway Bay,"G/F, 8 Matheson Street, Causeway Bay",6007,83,5,(140 Reviews),$51-100,['Japanese']
1305,Hana 華小料理屋,Causeway Bay,"Shop C,G/F,Soundwill Plaza 2 - Midtown, 1-29 Tang Lung Street, Causeway Bay",15092,104,10,(152 Reviews),$401-800,"['Japanese', 'Hot Pot']"
1306,Betsutenjin 博多拉麵別天神,Causeway Bay,"Shop 3A, G/F, 277 Gloucester Road, Causeway Bay",10095,364,10,(443 Reviews),$51-100,"['Japanese', 'Ramen']"
1307,牛川日本和牛專門店,Causeway Bay,"3/F, Richmond Plaza, 496 Jaffe Road, Causeway Bay",7908,230,1,(241 Reviews),$201-400,"['Japanese', 'Roast Meat']"
1308,Zushi ANA 鮨穴,Causeway Bay,"Shop 1202, 12/F, Times Square, 1 Matheson Street, Causeway Bay",16598,99,16,(205 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1309,mr.kanso,Causeway Bay,"Shop 1, G/F, Redana Centre, 25 Yiu Wa Street, Causeway Bay",2617,94,1,(99 Reviews),$101-200,"['Japanese', 'Wine']"
1310,Yu San 魚鮮生刺身專門店,Causeway Bay,"G/F, 31-35 Tang Lung Street, Causeway Bay",9798,146,29,(214 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
1311,RAMEN NAGI 拉麵凪,Causeway Bay,"Shop 5, G/F, The Grandeur, 48 Jardine's Crescent, Causeway Bay",6362,58,3,(81 Reviews),$51-100,"['Japanese', 'Ramen']"
1312,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
1313,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
1314,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
1315,Amis,Causeway Bay,"G/F, Universal House, 229-230 Gloucester Road, Causeway Bay",4715,92,0,(96 Reviews),Above $801,"['Japanese', 'Fine Dining']"
1316,La Famille,Causeway Bay,"Shop A2, G/F, Hong Kong Mansion, 1-1L Yee Wo Street, Causeway Bay",576,62,2,(67 Reviews),$201-400,"['Japanese', 'Dessert']"
1317,Rakuen (Circle Tower) 樂宴 (永光中心),Causeway Bay,"12/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",13810,132,2,(160 Reviews),$201-400,"['Japanese', 'Izakaya']"
1318,On-Yasai 温野菜,Causeway Bay,"4/F, Plaza 2000, 8 Canal Road East, Causeway Bay",12196,114,3,(164 Reviews),$101-200,"['Japanese', 'Hot Pot']"
1319,Sushi Kou 鮨幸,Causeway Bay,"6/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay",14954,65,6,(105 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1320,Shack Tapazaka,Causeway Bay,"G/F, 1-1A Yiu Wa Street, Causeway Bay",4357,95,3,(115 Reviews),$101-200,"['Japanese', 'Curry']"
1321,SUSHI KIWAMI 極鮨,Causeway Bay,"10/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",4508,63,1,(76 Reviews),$201-400,['Japanese']
1322,Tsukemen Mitaseimenjo (Soundwill Plaza 2 - Midtown) 三田製麵所 (金朝陽中心2期Midtown),Causeway Bay,"G/F, Soundwill Plaza 2 - Midtown, 1-29 Tang Lung Street, Causeway Bay",11899,207,56,(446 Reviews),$51-100,"['Japanese', 'Ramen']"
1323,SUSHI YOROKOBU 鮨㐂,Causeway Bay,"18/F, Aura on Pennington, 66 Jardline's Bazaar, Causeway Bay",14947,110,6,(142 Reviews),Above $801,"['Japanese', 'Omakase']"
1324,Homakase 舍,Causeway Bay,"3/F, Biz Aura, 13-15 Pennington Street, Causeway Bay",1091,71,1,(73 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1325,Sushi N,Causeway Bay,"12/F, Henry House, 42 Yun Ping Road, Causeway Bay",1754,114,2,(119 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
1326,SOLO UDON ソロうどん,Causeway Bay,"Shop 3, G/F, V Point, 18 Tang Lung Street, Causeway Bay",6428,101,5,(119 Reviews),$101-200,"['Japanese', 'Udon']"
1327,Kanizen 蟹膳,Causeway Bay,"Shop 105, 1/F, Lee Garden One, 33 Hysan Avenue, Causeway Bay",13249,35,1,(49 Reviews),Above $801,"['Japanese', 'Seafood']"
1328,Hika 輝,Causeway Bay,"3/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay",5727,53,1,(71 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
1329,CHIYO TSURU 千代鶴,Causeway Bay,"11/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",7332,91,13,(117 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
1330,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
1331,Red Hall 紅堂,Causeway Bay,"1/F, Circle ToweR, 28 Tang Lung Street, Causeway Bay",10739,,,,$201-400,"['Sichuan', 'Hot Pot']"
1332,Wagyu Yakiniku Ichiro (Po Hon Building) 和牛燒肉一郎 (寶漢大廈),Causeway Bay,"2/F, Po Hon Building, 24-30 Percival Street, Causeway Bay",10983,,,,$201-400,"['Japanese', 'BBQ']"
1333,Ramen Jo 拉麵Jo,Causeway Bay,"G/F, 3 Caroline Hill Road, Causeway Bay",14650,323,19,(442 Reviews),$51-100,"['Japanese', 'Ramen']"
1334,Sum Siu Bar and Grill 心燒食堂,Causeway Bay,"22-23/F, L'Hart, 487-489 Lockhart Road, Causeway Bay",17668,96,8,(158 Reviews),$201-400,"['Japanese', 'Skewer']"
1335,Gyu-Kaku (Windsor House) 牛角日本燒肉專門店 (皇室堡),Causeway Bay,"Shop 112-115, 1/F, Windsor House, 311 Gloucester Road, Causeway Bay",7202,86,8,(164 Reviews),$201-400,"['Japanese', 'Roast Meat']"
1336,Kyo Hayashiya (Hysan Place) 京林屋 (希慎廣場),Causeway Bay,"Shop 1203, 12/F, Hysan Place, 500 Hennessy Road, Causeway Bay",7966,266,7,(334 Reviews),$51-100,"['Japanese', 'Dessert']"
1337,Ootoya 大戶屋,Causeway Bay,"5/F, Soundwill Plaza 2 - Midtown, 1-29 Tang Lung Street, Causeway Bay",9151,101,5,(159 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
1338,Hachi Sawa (Sharp Street East) 八沢 (霎東街),Causeway Bay,"Shop 7, G/F, 7 Sharp Street East, Causeway Bay",7919,195,13,(263 Reviews),$51-100,"['Japanese', 'Thai']"
1339,YAMA 山,Causeway Bay,"15/F, The Zing!, 38 Yiu Wa Street, Causeway Bay",2349,77,2,(80 Reviews),Above $801,"['Japanese', 'Omakase']"
1340,Gyumai by Beefar's (Lee Theatre Plaza) 牛舞日本燒肉‧涮涮鍋放題 (利舞臺廣場),Causeway Bay,"Shop A, 8/F, Lee Theatre Plaza, 99 Percival Street, Causeway Bay",5841,86,4,(100 Reviews),$201-400,"['Japanese', 'Hot Pot']"
1341,Hidden 串揚＆酒処 「秀殿」,Causeway Bay,"Room D, 3/F, Prosperous Commercial Building, 54 Jardine's Bazaar, Causeway Bay",13301,42,0,(51 Reviews),$401-800,"['Japanese', 'Skewer']"
1342,Hanami 花見日本料理,Causeway Bay,"19/F, Henry House, 42 Yun Ping Road, Causeway Bay",8937,50,2,(63 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1343,Sushi Gin 鮨吟,Causeway Bay,"27/F, Zing!, 38 Yiu Wah Street, Causeway Bay",16255,54,7,(85 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1344,Kanada-ya 金田家,Causeway Bay,"G/F, 34 Tang Lung Street, Causeway Bay",11280,268,16,(418 Reviews),$51-100,"['Japanese', 'Ramen']"
1345,SENSU (崇光百貨6樓),Causeway Bay,"Shop 6F-09, 6/F, Sogo, 555 Hennessy Road, Causeway Bay",2785,45,1,(59 Reviews),$51-100,"['Japanese', 'Yoshoku']"
1346,肥後屋,Causeway Bay,"Shop 2-3, G/F, Parkview Commercial Building, 9-11 Shelter Street, Causeway Bay",10788,42,0,(54 Reviews),$101-200,['Japanese']
1347,Tonkichi Tonkatsu Seafood (World Trade Centre) 丼吉日式吉列豬排專門店 (世貿中心),Causeway Bay,"Shop 1302, 13/F, World Trade Center, 280 Gloucester Road, Causeway Bay",14505,515,34,(675 Reviews),$201-400,"['Japanese', 'Business Dining']"
1348,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
1349,Red Hall 紅堂,Causeway Bay,"1/F, Circle ToweR, 28 Tang Lung Street, Causeway Bay",10739,,,,$201-400,"['Sichuan', 'Hot Pot']"
1350,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
1351,U IZAKAYA,Causeway Bay,"10/F, ZING!, 38  Yiu Wa Street, Causeway Bay",2312,52,0,(55 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1352,Yakiniku Futago HK Futago HK大阪燒肉,Causeway Bay,"Shop LG01, G/F, Lee Garden 2, 28 Yun Ping Road, Causeway Bay",12412,32,2,(57 Reviews),$201-400,"['Japanese', 'Roast Meat']"
1353,Nagomiya 和家,Causeway Bay,"10/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",10208,32,3,(39 Reviews),$201-400,"['Japanese', 'Izakaya']"
1354,Sushi Yamatsuki 鮨山月,Causeway Bay,"2/F, L Square, 459 Lockhart Road, Causeway Bay",2249,49,1,(56 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
1355,Watami Japanese Casual Restaurant (Windsor House) 居食屋「和民」 (皇室堡),Causeway Bay,"Shop 401, 4/F, Windsor House, 311 Gloucester Road, Causeway Bay",8645,119,14,(186 Reviews),$101-200,"['Japanese', 'Hot Pot']"
1356,Nikushou,Causeway Bay,"22/F, Zing!, 38 Yiu Wa Street, Causeway Bay",14944,35,3,(49 Reviews),Above $801,"['Japanese', 'Roast Meat']"
1357,YUKIMI 雪見,Causeway Bay,"Shop A, 5/F, Zing!, 38 Yiu Wa Street, Causeway Bay",2435,47,1,(53 Reviews),$401-800,"['Japanese', 'Omakase']"
1358,Missing Link,Causeway Bay,"G/F, 10 Yiu Wa Street, Causeway Bay",5351,40,8,(70 Reviews),$101-200,"['Japanese', 'Coffee Shop']"
1359,Yamame 山女魚,Causeway Bay,"3/F, Cubus , 1 Hoi Ping Road, Causeway Bay",3199,46,2,(49 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1360,sen-ryo (Fashion Walk) 千両 (名店坊),Causeway Bay,"Shop A&B, G/F, Fashion Walk, 59-65 Paterson Street, Causeway Bay",2203,56,2,(91 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1361,Don Don Tei 丼丼亭,Causeway Bay,"Shop 6, Festiva, 1/F, JP Plaza, 22-36 Paterson Street, Causeway Bay",3879,58,4,(98 Reviews),$51-100,['Japanese']
1362,Hana Sakazuki Japanese Restaurant 花盃日本料理,Causeway Bay,"2/F, China Tai Ping Tower, Phase II, 8 Sunning Road, Causeway Bay",12330,104,12,(146 Reviews),Above $801,"['Japanese', 'Teppanyaki']"
1363,ABURI-EN (Times Square) 炙・宴 (時代廣場),Causeway Bay,"Shop 627, 6/F, Times Square, 1 Matheson Street, Causeway Bay",2552,28,0,(46 Reviews),$101-200,"['Japanese', 'Ramen']"
1364,Butao Ramen (V Point) 豚王 (V Point),Causeway Bay,"Shop 4, G/F, V Point, 18 Tang Lung Street, Causeway Bay",3210,80,5,(129 Reviews),$51-100,"['Japanese', 'Ramen']"
1365,燒肉の殿堂,Causeway Bay,"9/F, The L. Square, 459-461 Lockhart Road, Causeway Bay",1466,53,0,(56 Reviews),$101-200,"['Japanese', 'Roast Meat']"
1366,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
1367,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
1368,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
1369,Maizuru 舞鶴,Causeway Bay,"26/F, Jardine Center, 50 Jardine's Bazaar, Causeway Bay",11689,67,7,(95 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
1370,MOZY Cafe & Bar,Causeway Bay,"G/F, 11 Lan Fong Road, Causeway Bay",2348,30,0,(34 Reviews),$101-200,"['Japanese', 'Coffee Shop']"
1371,Secret Chefs (Jaffe Road) 秘 (謝斐道),Causeway Bay,"G/F, 522 Jaffe Road, Causeway Bay",5503,26,3,(46 Reviews),$101-200,"['Japanese', 'Roast Meat']"
1372,sen-ryo (Times Square) 千両 (時代廣場),Causeway Bay,"Shop B222, B2/F, Times Square, 1 Matheson Street, Causeway Bay",3171,70,12,(123 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1373,Gyujin Shabu Shabu & Sukiyaki Restaurant (Causeway Bay Plaza I) 牛陣 (銅鑼灣廣場一期),Causeway Bay,"Shop 301-303, 3/F, Causeway Bay Plaza I, 489 Hennessy Road, Causeway Bay",6336,138,31,(216 Reviews),$101-200,"['Japanese', 'Hot Pot']"
1374,101 Yakiniku Dining Bar 101燒肉餐酒館,Causeway Bay,"6/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",1258,38,1,(42 Reviews),$201-400,"['Japanese', 'Roast Meat']"
1375,Saboten Japanese Cutlet 勝博殿日式炸豬排,Causeway Bay,"Lower Ground Floor, Henry House, 42 Yun Ping Road, Causeway Bay",13675,170,12,(264 Reviews),$101-200,"['Japanese', 'Group Dining']"
1376,sen-ryo (Hysan Place) 千両 (希慎廣場),Causeway Bay,"Shop 1304-05, 13/F, Hysan Place, 500 Hennessy Road, Causeway Bay",2895,44,5,(96 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1377,Nabe Urawa (Hysan Place) 牛気 (希慎廣場),Causeway Bay,"Shop L1404-1405, 14/F, Hysan Place At Lee Gardens, 500 Hennessy Road, Causeway Bay",22202,80,10,(135 Reviews),$101-200,"['Japanese', 'Buffet']"
1378,Cha Cha Cha 茶涮涮,Causeway Bay,"Shop A, G/F, Prospect Mansion, 66-72 Paterson Street, Causeway Bay",1079,116,2,(123 Reviews),$401-800,"['Japanese', 'Hot Pot']"
1379,瀧宴日本料理,Causeway Bay,"26/F, Sugar+, 25-31 Sugar Street, Causeway Bay",674,38,0,(39 Reviews),$401-800,"['Japanese', 'Teppanyaki']"
1380,Sake San 日本清酒藏所,Causeway Bay,"Shop C & D, G/F, 66-72 Paterson Street, Causeway Bay",7099,23,1,(34 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
1381,Yaki by Jyungin 淳吟・燒,Causeway Bay,"Shop 15C, B2/F, Sogo, 555 Hennessy Road, Causeway Bay",127,42,0,(44 Reviews),$51-100,"['Japanese', 'Teppanyaki']"
1382,Tensho Japanese Restaurant 天勝,Causeway Bay,"2/F, Henry House, 42 Yun Ping Road, Causeway Bay",10630,110,1,(125 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1383,Sushi Nyoi 如意,Causeway Bay,"18/F, The Sharp ,11 The Sharp Street East, Causeway Bay",6854,29,2,(45 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
1384,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
1385,SUPPA Hot Pot by ATUM 十下火鍋,Causeway Bay,"2/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",26119,,,,$201-400,"['Hong Kong Style', 'Hot Pot']"
1386,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
1387,Man Maru Yakiniku 萬丸燒肉,Causeway Bay,"8/F, Causeway Bay Plaza 2 , 463-464 Lockhart Road, Causeway Bay",2805,51,0,(56 Reviews),$201-400,"['Japanese', 'BBQ']"
1388,Sushi Kawa 鮨川,Causeway Bay,"17/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay",9681,74,4,(97 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1389,Kyoto-ODEN MASA 京おでん-まさ,Causeway Bay,"Shop 1103, 11/F, United Success Commercial Centre, 508 Jaffe Road, Causeway Bay",8035,13,0,(17 Reviews),$201-400,['Japanese']
1390,Minori Omakase 豊,Causeway Bay,"11/F, L'hart, 487-489 Lockhart Road, Causeway Bay",2357,38,1,(53 Reviews),Above $801,"['Japanese', 'Sushi/Sashimi']"
1391,Kishoku 楽壽司,Causeway Bay,"Shop B, 5/F, Zing!, 38 Yiu Wa Street, Causeway Bay",10548,169,6,(186 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1392,Okonomiyaki Dohtonbori Restaurant (Hysan Place) 道頓堀御好燒專門店 (希慎廣場),Causeway Bay,"Shop 1202, 12/F, Hysan Place, 500 Hennessy Road, Causeway Bay",5331,26,4,(57 Reviews),$101-200,"['Japanese', 'Teppanyaki']"
1393,Homura 焰,Causeway Bay,"18/F, L'Hart, 487-489 Lockhart Road, Causeway Bay",831,71,0,(73 Reviews),$401-800,['Japanese']
1394,Totoya 峰壽司魚屋,Causeway Bay,"Shop 405, 4/F, Windsor House, 311 Gloucester Road, Causeway Bay",3194,73,11,(147 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
1395,Gathering 饗11,Causeway Bay,"Shop 1101, 11/F, Times Square, 1 Matheson Street, Causeway Bay",3410,33,9,(73 Reviews),$401-800,"['Japanese', 'Teppanyaki']"
1396,Hanakaido 花街道酒処,Causeway Bay,"Shop 4, G/F, The Grandeur, 48 Jardine's Crescent, Causeway Bay",774,28,0,(31 Reviews),$201-400,"['Japanese', 'Izakaya']"
1397,SARA 佐楽,Causeway Bay,"12/F, 15-21 Sharp Street East, Causeway Bay",7239,49,6,(73 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
1398,ASAP As Simple As Possible,Causeway Bay,"Shop 1, G/F, The Hemispheres, 1-7A Gordon Road, Causeway Bay",4635,51,1,(114 Reviews),$51-100,"['Japanese', 'Sandwich']"
1399,MIKURA by city’super 味蔵 by city’super,Causeway Bay,"3/F, sugar＋, 25-31 Sugar Street, Causeway Bay",4565,18,0,(27 Reviews),$201-400,['Japanese']
1400,YAKINIKU LIKE (Russell Street) 燒肉LIKE (羅素街),Causeway Bay,"Shop B, 2/F, Emperor Watch And Jewellery Centre, 8 Russell Street, Causeway Bay",2834,16,0,(20 Reviews),$51-100,"['Japanese', 'Roast Meat']"
1401,Nadai Unatoto Charcoal Grilled Eel Specialty (Hysan Place) 名代宇奈備長炭燒鰻魚飯專門店 (希慎廣場),Causeway Bay,"Shop 1202, 12/F, Hysan Place, 500 Hennessy Road, Causeway Bay",6731,47,17,(125 Reviews),$51-100,"['Japanese', 'Robatayaki']"
1402,Wagyu Yakiniku Ichiro (Po Hon Building) 和牛燒肉一郎 (寶漢大廈),Causeway Bay,"2/F, Po Hon Building, 24-30 Percival Street, Causeway Bay",10983,,,,$201-400,"['Japanese', 'BBQ']"
1403,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
